SitePlot,Site,Plot,Location,Common,PA,SitePlotNew,Avg_rugosity,Rugosity_variance
M0873,M08,73,M,Yellowtail,1,M0869,1.2374487234406177,0.009146952736898827
M0873,M08,73,M,Schoolmaster,0,M0869,1.2374487234406177,0.009146952736898827
M0874,M08,74,M,Yellowtail,1,M0870,1.035942683554482,4.5555154463858895e-4
M0874,M08,74,M,Schoolmaster,0,M0870,1.035942683554482,4.5555154463858895e-4
M0875,M08,75,M,Yellowtail,1,M0871,1.3108597657408958,0.006283055711799935
M0875,M08,75,M,Schoolmaster,0,M0871,1.3108597657408958,0.006283055711799935
M0876,M08,76,M,Yellowtail,1,M0872,1.3160500561346622,0.011330225440382067
M0876,M08,76,M,Schoolmaster,0,M0872,1.3160500561346622,0.011330225440382067
M1005,M10,05,M,Yellowtail,1,M1081,1.070005228185752,7.735531919577109e-4
M1005,M10,05,M,Schoolmaster,0,M1081,1.070005228185752,7.735531919577109e-4
M1006,M10,06,M,Yellowtail,1,M1082,1.0424889960330896,2.7300502667502877e-4
M1006,M10,06,M,Schoolmaster,0,M1082,1.0424889960330896,2.7300502667502877e-4
M1007,M10,07,M,Yellowtail,1,M1083,1.1122588391816643,0.001305171224801648
M1007,M10,07,M,Schoolmaster,0,M1083,1.1122588391816643,0.001305171224801648
M1260,M12,60,M,Yellowtail,1,M1254,1.205690432796157,0.007194356358080715
M1260,M12,60,M,Schoolmaster,1,M1254,1.205690432796157,0.007194356358080715
M1292,M12,92,M,Yellowtail,1,M1256,1.1829768489488268,0.004297226698780386
M1292,M12,92,M,Schoolmaster,1,M1256,1.1829768489488268,0.004297226698780386
M1509,M15,09,M,Yellowtail,1,M1564,1.161426424127361,0.0019332631187021553
M1509,M15,09,M,Schoolmaster,0,M1564,1.161426424127361,0.0019332631187021553
M1762,M17,62,M,Yellowtail,1,M1789,1.1961549243903502,0.0035347149296000076
M1762,M17,62,M,Schoolmaster,0,M1789,1.1961549243903502,0.0035347149296000076
M2870,M28,70,M,Yellowtail,1,M2874,1.1721315149813512,0.007455093056457662
M2870,M28,70,M,Schoolmaster,0,M2874,1.1721315149813512,0.007455093056457662
M3837,M38,37,M,Yellowtail,1,M3857,1.0881444899886397,0.006789197390564895
M3837,M38,37,M,Schoolmaster,0,M3857,1.0881444899886397,0.006789197390564895
M3839,M38,39,M,Yellowtail,1,M3859,1.2462222313900775,0.008698673103450233
M3839,M38,39,M,Schoolmaster,1,M3859,1.2462222313900775,0.008698673103450233
M3840,M38,40,M,Yellowtail,1,M3860,1.2833785219168725,0.018536460744475437
M3840,M38,40,M,Schoolmaster,1,M3860,1.2833785219168725,0.018536460744475437
M4338,M43,38,M,Yellowtail,1,M4365,1.1646942552499848,0.00279804112836267
M4338,M43,38,M,Schoolmaster,1,M4365,1.1646942552499848,0.00279804112836267
M4378,M43,78,M,Yellowtail,1,M4366,1.2548661357567596,0.0055643242377768996
M4378,M43,78,M,Schoolmaster,1,M4366,1.2548661357567596,0.0055643242377768996
M4380,M43,80,M,Yellowtail,1,M4367,1.187100288285928,0.018724345779660468
M4380,M43,80,M,Schoolmaster,0,M4367,1.187100288285928,0.018724345779660468
M4381,M43,81,M,Yellowtail,1,M4368,1.1657102564266673,0.005365207494052539
M4381,M43,81,M,Schoolmaster,0,M4368,1.1657102564266673,0.005365207494052539
M4503,M45,03,M,Yellowtail,1,M4587,1.0570333369370901,3.8026041780785634e-4
M4503,M45,03,M,Schoolmaster,0,M4587,1.0570333369370901,3.8026041780785634e-4
M4504,M45,04,M,Yellowtail,1,M4588,1.0745062748464773,6.605725164289007e-4
M4504,M45,04,M,Schoolmaster,0,M4588,1.0745062748464773,6.605725164289007e-4
M4896,M48,96,M,Yellowtail,1,M4852,1.1276248704246532,0.003355134354111127
M4896,M48,96,M,Schoolmaster,0,M4852,1.1276248704246532,0.003355134354111127
M7309,M73,09,M,Yellowtail,1,M7377,1.45102729014056,0.09073131644033536
M7309,M73,09,M,Schoolmaster,1,M7377,1.45102729014056,0.09073131644033536
M7421,M74,21,M,Yellowtail,1,M7493,1.0861190643501422,9.4836939926539e-4
M7421,M74,21,M,Schoolmaster,0,M7493,1.0861190643501422,9.4836939926539e-4
M7422,M74,22,M,Yellowtail,1,M7494,1.0891308021295187,0.0016671372081330015
